ID,Type,Reliance
1,Visual,0
1,Both,0
1,Electrotactile,1
2,Visual,0
2,Both,0
2,Electrotactile,1
3,Visual,1
3,Both,0
3,Electrotactile,0
4,Visual,1
4,Both,0
4,Electrotactile,0
5,Visual,1
5,Both,0
5,Electrotactile,0
6,Visual,0
6,Both,0
6,Electrotactile,1
7,Visual,0
7,Both,0
7,Electrotactile,1
8,Visual,0
8,Both,0
8,Electrotactile,1
9,Visual,0
9,Both,0
9,Electrotactile,1
10,Visual,0
10,Both,0
10,Electrotactile,1
11,Visual,0
11,Both,0
11,Electrotactile,1
12,Visual,1
12,Both,0
12,Electrotactile,0
13,Visual,0
13,Both,1
13,Electrotactile,0
14,Visual,0
14,Both,0
14,Electrotactile,1
15,Visual,1
15,Both,0
15,Electrotactile,0
16,Visual,0
16,Both,0
16,Electrotactile,1
17,Visual,0
17,Both,1
17,Electrotactile,0
18,Visual,1
18,Both,0
18,Electrotactile,0
19,Visual,0
19,Both,0
19,Electrotactile,1
20,Visual,0
20,Both,0
20,Electrotactile,1
21,Visual,1
21,Both,0
21,Electrotactile,0
22,Visual,0
22,Both,1
22,Electrotactile,0
23,Visual,1
23,Both,0
23,Electrotactile,0
24,Visual,0
24,Both,1
24,Electrotactile,0
