ID,TypeMore,RelianceMore
1,Visual,0
2,Visual,0
3,Visual,1
4,Visual,1
5,Visual,1
6,Visual,0
7,Visual,0
8,Visual,0
9,Visual,0
10,Visual,0
11,Visual,0
12,Visual,1
13,Visual,0
14,Visual,0
15,Visual,1
16,Visual,0
17,Visual,0
18,Visual,1
19,Visual,0
20,Visual,0
21,Visual,1
22,Visual,0
23,Visual,1
24,Visual,0
1,Electrotactile,2
2,Electrotactile,1
3,Electrotactile,0
4,Electrotactile,0
5,Electrotactile,0
6,Electrotactile,1
7,Electrotactile,2
8,Electrotactile,1
9,Electrotactile,1
10,Electrotactile,2
11,Electrotactile,1
12,Electrotactile,0
13,Electrotactile,0
14,Electrotactile,1
15,Electrotactile,0
16,Electrotactile,1
17,Electrotactile,0
18,Electrotactile,0
19,Electrotactile,2
20,Electrotactile,1
21,Electrotactile,0
22,Electrotactile,0
23,Electrotactile,0
24,Electrotactile,0
