ID,Type,Usefulnes,Resemblance,Coherence
1,Visual,5,4,7
2,Visual,5,3,5
3,Visual,6,3,6
4,Visual,6,4,5
5,Visual,6,3,4
6,Visual,6,3,6
7,Visual,5,4,6
8,Visual,2,1,5
9,Visual,5,5,5
10,Visual,5,5,5
11,Visual,5,3,5
12,Visual,2,4,5
13,Visual,5,3,5
14,Visual,5,2,5
15,Visual,7,2,5
16,Visual,6,1,6
17,Visual,6,5,7
18,Visual,6,2,6
19,Visual,7,5,5
20,Visual,4,1,6
21,Visual,5,3,4
22,Visual,7,6,6
23,Visual,7,2,7
24,Visual,6,2,5
1,Electrotactile,7,3,7
2,Electrotactile,6,5,5
3,Electrotactile,7,1,6
4,Electrotactile,6,2,5
5,Electrotactile,5,1,4
6,Electrotactile,5,2,6
7,Electrotactile,7,4,6
8,Electrotactile,2,1,5
9,Electrotactile,4,4,5
10,Electrotactile,6,3,5
11,Electrotactile,5,1,5
12,Electrotactile,2,2,5
13,Electrotactile,6,5,5
14,Electrotactile,5,4,5
15,Electrotactile,5,1,5
16,Electrotactile,6,1,6
17,Electrotactile,7,3,7
18,Electrotactile,5,1,6
19,Electrotactile,7,2,5
20,Electrotactile,5,1,6
21,Electrotactile,6,5,4
22,Electrotactile,7,6,6
23,Electrotactile,6,3,7
24,Electrotactile,5,3,5
